,rms_spike,rms_lfp,gamma,alpha,beta,delta,theta,peaks,targets
44,0.0,3.82929435042,6.68782491428,57.0402315528,21.4497714392,28.880334014,47.3304450514,9.97402597403,CA1
45,0.0,0.840607437185,1.2843488352,9.94051126149,4.06963722427,4.74150146739,7.98674089049,14.4,white matter
46,0.0,0.549644009885,0.752330419955,5.81392071426,2.30876217001,2.61649497627,4.64591184634,13.7887323944,primary somatosensory cortex
47,0.0,0.232303463477,0.270644702423,1.16902823046,0.660927275176,0.48812258818,0.905062934753,7.8064516129,above
48,0.136076042309,8.06219008392,7.91166759582,132.326142355,47.9076278791,72.4712745338,110.812086467,21.0588235294,ventral thalamus
49,0.124855324989,10.1856577361,11.4788595708,165.898979785,60.229555933,92.0997781382,139.842586107,14.7727272727,Po
50,0.109841876173,23.0205909814,30.9527470135,364.894940027,133.374569367,205.329872787,309.410253267,12.375,lateral posterior
51,0.109268399149,58.1467401309,84.856006596,884.087390842,351.58310119,439.369287041,716.936718874,44.1506849315,dentate gyrus
52,0.0935465573971,6.04474222344,9.77590338549,88.5308664073,36.2113852244,42.8570481795,71.3836068698,12.5057471264,CA1
53,0.0896366941593,2.52591465652,2.54122399602,42.4058893014,14.7599981751,17.6879563148,33.4731970818,10.6,white matter
54,0.0810453528738,2.00717443312,2.01176686309,32.7300994173,11.0450362026,15.7052675294,26.9687557025,22.5079365079,parietal cortex
55,0.0581769407236,0.518110854618,0.494006837279,6.95822068769,2.38631495041,3.40371438202,5.7990866325,8.12820512821,above
56,0.0928436403695,4.02319989002,5.05860308847,68.8652166811,23.2183292527,27.8633034879,54.6098441022,38.0855614973,caudate putamen
57,0.0817090965969,3.36038271795,2.6592584767,64.6903824645,18.5208211976,23.3548185155,50.8889176862,32.6071428571,white matter
58,0.071591326696,2.46560089206,1.67234914565,48.6024294491,12.9007853088,17.3917661369,38.5106677108,29.0615384615,primary somatosensory cortex
59,0.0396866713389,0.624779817612,0.587776246198,10.3056814035,2.90462072403,3.73639780548,8.27615883104,16.6551724138,above
