,rms_spike,rms_lfp,gamma,alpha,beta,delta,theta,peaks,targets
24,0.0911134995825,8.75796218623,20.0458817167,111.029641542,47.7346455729,50.1113165323,87.3111065445,24.0,caudate putamen
25,0.0932006217405,8.80027816195,20.6681361762,109.651891274,47.9387532727,48.980130335,85.93844919,36.0,caudate putamen
26,0.0968789620738,9.03796662519,19.1183702026,120.176193273,50.0102448168,53.9420290128,94.5587843669,27.0,caudate putamen
27,0.0947792707671,8.55398258717,18.9973553929,108.923838884,46.9270742249,48.7519685812,85.40752412,26.0,caudate putamen
28,0.0951018594997,9.19528947011,19.0138570151,123.61304766,51.0576866792,55.1699410984,97.2437387529,34.0,caudate putamen
29,0.106460595951,9.24455393861,19.5108255561,123.255828743,50.9979290023,54.8830214616,97.0516249642,29.0,caudate putamen
30,0.105254686001,9.31078633611,18.6020283599,126.634668895,51.6209609269,56.483302993,99.718879549,38.0,caudate putamen
31,0.102105970392,9.17153382632,18.4512904034,123.860004711,50.9747457808,55.5963455927,97.5954681114,42.0,caudate putamen
32,0.0898678874785,8.85428302884,17.9655723457,117.823717679,49.2005972626,52.0989162067,92.2541051275,47.0,caudate putamen
33,0.106634122473,8.81446539632,18.5187986203,114.636384953,48.4333223703,51.8351387587,90.2918501226,29.0,caudate putamen
34,0.0951313656978,8.57556915134,17.8372423903,110.74766055,47.7903161691,49.4781526136,86.6115837093,23.0,caudate putamen
35,0.0942592477497,8.53844221936,17.6722708417,112.857007295,47.1228236439,51.048695753,88.990453067,25.0,caudate putamen
36,0.0935960508959,8.63021878984,18.1570717185,112.333559516,47.5859896655,50.5750714747,88.4352895451,19.0,caudate putamen
37,0.0959619571106,8.79399513876,17.4721866849,117.375360672,49.3098101703,52.4479402205,92.0197798258,36.0,caudate putamen
38,0.0907556741404,8.92026241112,17.6688032052,121.247890018,49.7957379398,53.8985579,95.4524561664,28.0,caudate putamen
39,0.0927555210005,8.086287356,16.5505706313,104.763369466,45.7105128781,47.12680221,82.0301344176,22.0,caudate putamen
40,0.111370821493,8.86811345205,17.5731014846,120.050019746,49.0268728131,53.6333305575,94.8742956514,22.0,caudate putamen
41,0.0970950493783,7.73487079103,16.2301081447,98.8364816416,43.5778228321,44.8207328494,77.533272755,38.0,caudate putamen
42,0.095504329401,8.45216421367,17.206854469,112.56807195,47.0787787377,50.2496327762,88.5586359407,20.0,caudate putamen
43,0.11167908352,8.36428172958,16.7496649274,111.865456569,47.0567817932,50.0192778764,87.9404573828,16.0,caudate putamen
44,0.100107725122,8.27826901307,16.9764327381,108.781518909,46.5578717442,48.3143650579,85.2041339478,25.0,caudate putamen
45,0.0955335800818,7.51230833932,15.8595539953,97.3396686621,42.5084791345,43.6600281056,76.2000443585,15.0,caudate putamen
46,0.0918903646501,8.44001029772,16.456258534,115.391125507,47.5361390788,51.2176981734,90.8470280572,17.0,caudate putamen
47,0.0966949262231,8.01345501043,15.58995771,109.093637362,44.8384681917,48.6799468478,85.9613968309,27.0,caudate putamen
48,0.101475982606,8.25720140894,15.8950025681,113.732135331,46.6331988861,50.3492263361,89.3096863697,27.0,caudate putamen
